block_height,market,position,account,side,asset,amount_base_units
9049309,granite-aeusdc,SP15A48CNM9YG6EJAZT5XKM7ZGVZBCWHGEV39QGA3,SP15A48CNM9YG6EJAZT5XKM7ZGVZBCWHGEV39QGA3,debt,token-aeusdc,4
9049309,granite-aeusdc,SP15A48CNM9YG6EJAZT5XKM7ZGVZBCWHGEV39QGA3,SP15A48CNM9YG6EJAZT5XKM7ZGVZBCWHGEV39QGA3,debt_stored,shares,2
9049309,granite-aeusdc,SP15F71PTZ135MNW7ENTVERFFCNAG7Z98WRHSBNET,SP15F71PTZ135MNW7ENTVERFFCNAG7Z98WRHSBNET,collateral,sBTC,34
9049309,granite-aeusdc,SP15F71PTZ135MNW7ENTVERFFCNAG7Z98WRHSBNET,SP15F71PTZ135MNW7ENTVERFFCNAG7Z98WRHSBNET,debt,token-aeusdc,2
9049309,granite-aeusdc,SP15F71PTZ135MNW7ENTVERFFCNAG7Z98WRHSBNET,SP15F71PTZ135MNW7ENTVERFFCNAG7Z98WRHSBNET,debt_stored,shares,1
9049309,granite-aeusdc,SP15NQTJHF5QN063S6P87JRF78K4XWBFT9RZ1BVX3,SP15NQTJHF5QN063S6P87JRF78K4XWBFT9RZ1BVX3,collateral,sBTC,4978
9049309,granite-aeusdc,SP1687V0EX1SE5E9APYX2QNHTQ4598ADGRTWEP1Q6,SP1687V0EX1SE5E9APYX2QNHTQ4598ADGRTWEP1Q6,collateral,sBTC,18
9049309,granite-aeusdc,SP1687V0EX1SE5E9APYX2QNHTQ4598ADGRTWEP1Q6,SP1687V0EX1SE5E9APYX2QNHTQ4598ADGRTWEP1Q6,debt,token-aeusdc,951
9049309,granite-aeusdc,SP1687V0EX1SE5E9APYX2QNHTQ4598ADGRTWEP1Q6,SP1687V0EX1SE5E9APYX2QNHTQ4598ADGRTWEP1Q6,debt_stored,shares,615
9049309,granite-aeusdc,SP17Y608F82R6HAJ581MM88E4G1SYRQDNXW7F5A7Q,SP17Y608F82R6HAJ581MM88E4G1SYRQDNXW7F5A7Q,collateral,sBTC,10000
9049309,granite-aeusdc,SP17Y608F82R6HAJ581MM88E4G1SYRQDNXW7F5A7Q,SP17Y608F82R6HAJ581MM88E4G1SYRQDNXW7F5A7Q,debt,token-aeusdc,2267844
9049309,granite-aeusdc,SP17Y608F82R6HAJ581MM88E4G1SYRQDNXW7F5A7Q,SP17Y608F82R6HAJ581MM88E4G1SYRQDNXW7F5A7Q,debt_stored,shares,1468065
9049309,granite-aeusdc,SP18136VCEXAM4T48VE6T369S7NHPBNPCPZYPYHPX,SP18136VCEXAM4T48VE6T369S7NHPBNPCPZYPYHPX,collateral,sBTC,25
9049309,granite-aeusdc,SP18136VCEXAM4T48VE6T369S7NHPBNPCPZYPYHPX,SP18136VCEXAM4T48VE6T369S7NHPBNPCPZYPYHPX,debt,token-aeusdc,28
9049309,granite-aeusdc,SP18136VCEXAM4T48VE6T369S7NHPBNPCPZYPYHPX,SP18136VCEXAM4T48VE6T369S7NHPBNPCPZYPYHPX,debt_stored,shares,18
9049309,granite-aeusdc,SP19JRV6RAXYJFF3HPD18PMA1209VEAN50J1FVZVA,SP19JRV6RAXYJFF3HPD18PMA1209VEAN50J1FVZVA,collateral,sBTC,91
9049309,granite-aeusdc,SP19JRV6RAXYJFF3HPD18PMA1209VEAN50J1FVZVA,SP19JRV6RAXYJFF3HPD18PMA1209VEAN50J1FVZVA,debt,token-aeusdc,1462
9049309,granite-aeusdc,SP19JRV6RAXYJFF3HPD18PMA1209VEAN50J1FVZVA,SP19JRV6RAXYJFF3HPD18PMA1209VEAN50J1FVZVA,debt_stored,shares,946
9049309,granite-aeusdc,SP19KN9Z8QXS6106X4FY1FKGCS84GN0VCACVGEG1M,SP19KN9Z8QXS6106X4FY1FKGCS84GN0VCACVGEG1M,collateral,sBTC,100
9049309,granite-aeusdc,SP19KN9Z8QXS6106X4FY1FKGCS84GN0VCACVGEG1M,SP19KN9Z8QXS6106X4FY1FKGCS84GN0VCACVGEG1M,debt,token-aeusdc,7
9049309,granite-aeusdc,SP19KN9Z8QXS6106X4FY1FKGCS84GN0VCACVGEG1M,SP19KN9Z8QXS6106X4FY1FKGCS84GN0VCACVGEG1M,debt_stored,shares,4
9049309,granite-aeusdc,SP19NY5VP4922XR4K3P9DJJHS8JWM3ZKEW3G2XNW,SP19NY5VP4922XR4K3P9DJJHS8JWM3ZKEW3G2XNW,collateral,sBTC,10
9049309,granite-aeusdc,SP19NY5VP4922XR4K3P9DJJHS8JWM3ZKEW3G2XNW,SP19NY5VP4922XR4K3P9DJJHS8JWM3ZKEW3G2XNW,debt,token-aeusdc,56
9049309,granite-aeusdc,SP19NY5VP4922XR4K3P9DJJHS8JWM3ZKEW3G2XNW,SP19NY5VP4922XR4K3P9DJJHS8JWM3ZKEW3G2XNW,debt_stored,shares,36
9049309,granite-aeusdc,SP1AC38VQBJTP37R0017TT4RQ9WD16EBXPE1PY6C2,SP1AC38VQBJTP37R0017TT4RQ9WD16EBXPE1PY6C2,collateral,sBTC,100
9049309,granite-aeusdc,SP1AC38VQBJTP37R0017TT4RQ9WD16EBXPE1PY6C2,SP1AC38VQBJTP37R0017TT4RQ9WD16EBXPE1PY6C2,debt,token-aeusdc,2
9049309,granite-aeusdc,SP1AC38VQBJTP37R0017TT4RQ9WD16EBXPE1PY6C2,SP1AC38VQBJTP37R0017TT4RQ9WD16EBXPE1PY6C2,debt_stored,shares,1
9049309,granite-aeusdc,SP1ARC8PTHHY7C9P076ZHH5MM6WDWA0XP2EXKVZJE,SP1ARC8PTHHY7C9P076ZHH5MM6WDWA0XP2EXKVZJE,collateral,sBTC,86
9049309,granite-aeusdc,SP1ARC8PTHHY7C9P076ZHH5MM6WDWA0XP2EXKVZJE,SP1ARC8PTHHY7C9P076ZHH5MM6WDWA0XP2EXKVZJE,debt,token-aeusdc,2
