block_height,market,position,account,side,asset,amount_base_units
9053676,zest-v1,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,debt,USDH,106090709
9053676,zest-v1,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,debt,stSTX,11
9053676,zest-v1,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,debt_stored,STX,103511705
9053676,zest-v1,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,debt_stored,USDH,99086343
9053676,zest-v1,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,SP1X54RCNJS8GYHQ7ENN11JTQV74BVX15C5QMN1A,debt_stored,stSTX,10
9053676,zest-v1,SP1XAVKTJ4V37930D7T39N4DWQTW993RMNKSKQC94,SP1XAVKTJ4V37930D7T39N4DWQTW993RMNKSKQC94,collateral,sBTC,43
9053676,zest-v1,SP1XAVKTJ4V37930D7T39N4DWQTW993RMNKSKQC94,SP1XAVKTJ4V37930D7T39N4DWQTW993RMNKSKQC94,debt,USDH,3629686
9053676,zest-v1,SP1XAVKTJ4V37930D7T39N4DWQTW993RMNKSKQC94,SP1XAVKTJ4V37930D7T39N4DWQTW993RMNKSKQC94,debt_stored,USDH,3366383
9053676,zest-v1,SP1XHXFT81FMFW616W3JZ9Q1NC88VJXMXVWKGE7GP,SP1XHXFT81FMFW616W3JZ9Q1NC88VJXMXVWKGE7GP,collateral,STX,11479594
9053676,zest-v1,SP1XHXFT81FMFW616W3JZ9Q1NC88VJXMXVWKGE7GP,SP1XHXFT81FMFW616W3JZ9Q1NC88VJXMXVWKGE7GP,collateral,aeUSDC,17237183
9053676,zest-v1,SP1XHXFT81FMFW616W3JZ9Q1NC88VJXMXVWKGE7GP,SP1XHXFT81FMFW616W3JZ9Q1NC88VJXMXVWKGE7GP,debt,aeUSDC,1258911
9053676,zest-v1,SP1XHXFT81FMFW616W3JZ9Q1NC88VJXMXVWKGE7GP,SP1XHXFT81FMFW616W3JZ9Q1NC88VJXMXVWKGE7GP,debt_stored,aeUSDC,1032716
9053676,zest-v1,SP1XHZJ9QQGM8WQXK0BHMDE61XQG26NTTQRHZWKG3,SP1XHZJ9QQGM8WQXK0BHMDE61XQG26NTTQRHZWKG3,collateral,STX,493683
9053676,zest-v1,SP1XHZJ9QQGM8WQXK0BHMDE61XQG26NTTQRHZWKG3,SP1XHZJ9QQGM8WQXK0BHMDE61XQG26NTTQRHZWKG3,debt,STX,13482
9053676,zest-v1,SP1XHZJ9QQGM8WQXK0BHMDE61XQG26NTTQRHZWKG3,SP1XHZJ9QQGM8WQXK0BHMDE61XQG26NTTQRHZWKG3,debt_stored,STX,12000
9053676,zest-v1,SP1XPCCJE4NR82X6D8PX32NF1KAYYM36B5T83J6GP,SP1XPCCJE4NR82X6D8PX32NF1KAYYM36B5T83J6GP,collateral,sBTC,75
9053676,zest-v1,SP1XPCCJE4NR82X6D8PX32NF1KAYYM36B5T83J6GP,SP1XPCCJE4NR82X6D8PX32NF1KAYYM36B5T83J6GP,collateral,stSTX,590099533
