block_height,market,position,account,side,asset,amount_base_units
9053676,arkadiko-v2,SP1JQ6KP52NFT2RAF0JN348G8XD142GZ0PN7Q9ETK|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1JQ6KP52NFT2RAF0JN348G8XD142GZ0PN7Q9ETK,debt,USDA,10705
9053676,arkadiko-v2,SP1JQ6KP52NFT2RAF0JN348G8XD142GZ0PN7Q9ETK|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1JQ6KP52NFT2RAF0JN348G8XD142GZ0PN7Q9ETK,debt_stored,USDA,10705
9053676,arkadiko-v2,SPF2VNHRHWJR3ABJRGKS21CH6KMR50NGADH29E5A|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPF2VNHRHWJR3ABJRGKS21CH6KMR50NGADH29E5A,collateral,STX,33327404
9053676,arkadiko-v2,SPF2VNHRHWJR3ABJRGKS21CH6KMR50NGADH29E5A|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPF2VNHRHWJR3ABJRGKS21CH6KMR50NGADH29E5A,debt,USDA,52559
9053676,arkadiko-v2,SPF2VNHRHWJR3ABJRGKS21CH6KMR50NGADH29E5A|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPF2VNHRHWJR3ABJRGKS21CH6KMR50NGADH29E5A,debt_stored,USDA,52559
9053676,arkadiko-v2,SP2N6WDD2M9DNC6J5D566GPC2QD8MRQRDBG6NH6F|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP2N6WDD2M9DNC6J5D566GPC2QD8MRQRDBG6NH6F,collateral,STX,10000000
9053676,arkadiko-v2,SP2N6WDD2M9DNC6J5D566GPC2QD8MRQRDBG6NH6F|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP2N6WDD2M9DNC6J5D566GPC2QD8MRQRDBG6NH6F,debt,USDA,10000
9053676,arkadiko-v2,SP2N6WDD2M9DNC6J5D566GPC2QD8MRQRDBG6NH6F|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP2N6WDD2M9DNC6J5D566GPC2QD8MRQRDBG6NH6F,debt_stored,USDA,10000
9053676,arkadiko-v2,SPDVAGX3EGETB7BJ6737FRS4DTNXC7CVSNFK7TSR|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPDVAGX3EGETB7BJ6737FRS4DTNXC7CVSNFK7TSR,collateral,STX,10000000
9053676,arkadiko-v2,SPDVAGX3EGETB7BJ6737FRS4DTNXC7CVSNFK7TSR|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPDVAGX3EGETB7BJ6737FRS4DTNXC7CVSNFK7TSR,debt,USDA,10000
9053676,arkadiko-v2,SPDVAGX3EGETB7BJ6737FRS4DTNXC7CVSNFK7TSR|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPDVAGX3EGETB7BJ6737FRS4DTNXC7CVSNFK7TSR,debt_stored,USDA,10000
9053676,arkadiko-v2,SP3AWE771HSHKVAWXJKEFRFP79SB8FK3H8E6YMSRZ|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP3AWE771HSHKVAWXJKEFRFP79SB8FK3H8E6YMSRZ,collateral,STX,13000000
9053676,arkadiko-v2,SP3AWE771HSHKVAWXJKEFRFP79SB8FK3H8E6YMSRZ|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP3AWE771HSHKVAWXJKEFRFP79SB8FK3H8E6YMSRZ,debt,USDA,10000
9053676,arkadiko-v2,SP3AWE771HSHKVAWXJKEFRFP79SB8FK3H8E6YMSRZ|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP3AWE771HSHKVAWXJKEFRFP79SB8FK3H8E6YMSRZ,debt_stored,USDA,10000
9053676,arkadiko-v2,SP1YK1VXJXD2RWTZ6M8TNB99KQZX0EXJ9RJ591E15|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1YK1VXJXD2RWTZ6M8TNB99KQZX0EXJ9RJ591E15,collateral,STX,50000000
9053676,arkadiko-v2,SP1YK1VXJXD2RWTZ6M8TNB99KQZX0EXJ9RJ591E15|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1YK1VXJXD2RWTZ6M8TNB99KQZX0EXJ9RJ591E15,debt,USDA,36303
9053676,arkadiko-v2,SP1YK1VXJXD2RWTZ6M8TNB99KQZX0EXJ9RJ591E15|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1YK1VXJXD2RWTZ6M8TNB99KQZX0EXJ9RJ591E15,debt_stored,USDA,36303
9053676,arkadiko-v2,SP1JVB9ZWKPGMYQ62YFWA8KBE66SDEFJHGJR9DVX1|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1JVB9ZWKPGMYQ62YFWA8KBE66SDEFJHGJR9DVX1,collateral,STX,15000000
9053676,arkadiko-v2,SP1JVB9ZWKPGMYQ62YFWA8KBE66SDEFJHGJR9DVX1|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1JVB9ZWKPGMYQ62YFWA8KBE66SDEFJHGJR9DVX1,debt,USDA,10000
9053676,arkadiko-v2,SP1JVB9ZWKPGMYQ62YFWA8KBE66SDEFJHGJR9DVX1|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1JVB9ZWKPGMYQ62YFWA8KBE66SDEFJHGJR9DVX1,debt_stored,USDA,10000
9053676,arkadiko-v2,SP1HBSPDYX7D8413DP2Q2GWQD2YFV061Q0VJ82ED4|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1HBSPDYX7D8413DP2Q2GWQD2YFV061Q0VJ82ED4,collateral,STX,18060000
